Encrypted_Text,Cipher_Type
"Ivx ahzcvzwqcu, za owvvc ju za aep ripqc,",Affine
"Wkh Lqvwuxphqwv ri Gdunqhvvh whoo yv Wuxwkv,",Caesar
"Jxo Sxojbqcojjc ep Nknaxaica dabv lc Dbqjro,",Vigenère
PDFKAQZDMCGMLTHPBRDTMGXALILKSUPUTLMZPDXA,Playfair
"TIrnoae l th ntuet fDrnsetl sTuh,esms ksevrs",Rail Fence
"Zrc Wvuzpeqcvzu ah Xipgvcuuc zcll ju Zpezru,",Affine
"Zlqqh yv zlwk krqhvw Wuliohv, wr ehwudb'v",Caesar
"Myxju ri sydd rkdooj Jhsbboo, pe xudnqi'i",Vigenère
XGAWMGXPXGPDFHMGTLZDKGULTLAHKLMRBQ,Playfair
"We hn f, rsin swt oetTils obta'nvihsretey",Rail Fence
"Owvvc ju owzr ravcuz Zpwhlcu, za nczpiy'u",Affine
Lq ghhshvw frqvhtxhqfh.,Caesar
Yd zuolucp mkdcageadma.,Vigenère
GACKFLILLDNALILWGMEL,Playfair
Iesoqcndeetcneune p se.,Rail Fence
Wv xccfcuz savuckecvsc.,Affine
"Frxvlqv, d zrug, L sudb brx",Caesar
"Seeoyxo, w gkhn, M fbwo uee",Vigenère
HMXLGAXBVNDKFSMRBWHNVZ,Playfair
"Ci o ryosn,awr,Ipa ous d yu",Rail Fence
"Saeuwvu, i oapx, W fpiy yae",Affine
"Pdfe. Wzr Wuxwkv duh wrog,",Caesar
"Cqmx. Jmy Dbqjro knu pevz,",Vigenère
ORHDQZRPMZPDXBMKPRTC,Playfair
"M.ou  dab w rtsaetl,cTThro",Rail Fence
"Qisn. Zoa Zpezru ipc zalx,",Affine
Dv kdssb Surorjxhv wr wkh vzhoolqj Dfw,Caesar
Qi dqzlo Fhyheqquc jy jra csuvhyxc Eyj,Vigenère
BXBOSVQHTOMPNFMLTLRPCFQXLUSEYQMBSZ,Playfair
Aa leoeencshpyPooust h wligAt prg tsl ,Rail Fence
Iu riffy Fpalamecu za zrc uocllwvm Isz,Affine
Ri wkh Lpshuldoo Wkhdph. L wkdqnh brx Jhqwohphq:,Caesar
Ev pxo Swlubeqvh Xdukiu. S pxkjao oyq Kaddhuwad:,Vigenère
HPPDFKOLKMSBSUPLCFROFKPDRAEFHNWEGMLPLCGM,Playfair
Ohmi a heunmfteIpralTem.Itak o etee:  elhe nyGln,Rail Fence
Ah zrc Wqfcpwill Zrciqc. W zrivgc yae Mcvzlcqcv:,Affine
Wklv vxshuqdwxudoo vroolflwlqj,Caesar
Jxso cqfondkpkbwbv iyhbsyydedq,Vigenère
PDSXLXLFMARSZMMSPTMPSEBESKYQ,Playfair
T etlocnhsspraualsliiigiunr lt,Rail Fence
Zrwu uefcpvizepill uallwswzwvm,Affine
Fdqqrw eh loo; fdqqrw eh jrrg.,Caesar
Sqxjed ro yvh; yqxjed ro wykt.,Vigenère
BMAWANSDFKSUUERAANSDFIAVRH,Playfair
Coelat dantb l;cno ego.n i nbo,Rail Fence
Sivvaz nc wll; sivvaz nc maax.,Affine
"Li loo? zkb kdwk lw jlxhq ph hduqhvw ri vxffhvvh,",Caesar
"Yv ebv? gdo dqdd sp qekoj wa owhxaid ep ieysooio,",Vigenère
KGESQUYBBOPDKSIKMLAOIUIMMAILPRIPMEELXALI,Playfair
"Ilwh gn n se,fil h ahi ie eereto ucse ?yttumasfcs",Rail Fence
"Wh wll? ory rizr wz mwecv qc cipvcuz ah uesscuuc,",Affine
Frpphqflqj lq d Wuxwk? L dp Wkdqh ri Fdzgru.,Caesar
Sewiuxyyxc sj k Dbqjr? M qw Drwdo ep Mkstyn.,Vigenère
HMAUCLMYGAIKARZDZLBFROPDRAFMEHNXHRAZ,Playfair
CennTh Te domnigi  rt?Ia hn fCwo.mc au maoar,Rail Fence
Saqqcvswvm wv i Zpezr? W iq Zrivc ah Sioxap.,Affine
"Li jrrg? zkb grh L bhhog wr wkdw vxjjhvwlrq,",Caesar
"Yv ceyz? sxi tya M ooabn jy jrwj okqcucpyyj,",Vigenère
KGFNRHVYBCMFGBIULUKZRPBOLTWEIFTLFAAW,Playfair
"Io   e t gifgo?wydeIyedt htsgeto, dho loausn",Rail Fence
"Wh maax? ory xac W ycclx za zriz uemmcuzwav,",Affine
"Zkrvh kruulg Lpdjh grwk yqilah pb Khluh,",Caesar
"Mxyou debnyn Swwwo typx rdpeno ci Roeho,",Vigenère
VYAPFCNMAKBKORIFHRPDWOGKUINCCFKAIU,Playfair
"Wer govxyihs ordIaedt niem er,ohim hf He",Rail Fence
"Orauc rappwx Wqimc xazr jvhwtc qy Rcwpc,",Affine
"Dqg pdnh pb vhdwhg Khduw nqrfn dw pb Uleehv,",Caesar
"Qdn ckgu io oukpun Rowhd axksu qd ci Bsxroo,",Vigenère
RACRRILCBQIMLKCYIMDZGRMHIRLRDNSICIXA,Playfair
"Am see ct bn aem etdHatkoka yRbe,dkya rn mis",Rail Fence
"Ivx qigc qy ucizcx Rcipz gvasg iz qy Pwnncu,",Affine
Djdlqvw wkh yvh ri Qdwxuh? Suhvhqw Ihduhv,Caesar
Qwkedcp ddu rio ep Xkpkba? Fhoouxp Jaqbai,Vigenère
NIBSAQSZPDFULIHPARLZMKTOILGMPKIMMKXA,Playfair
Antvoaernesgis h s fNtr?PeetFaeatee u s r,Rail Fence
Imiwvuz zrc juc ah Vizepc? Fpcucvz Hcipcu,Affine
Duh ohvvh wkhq kruuleoh Lpdjlqlqjv:,Caesar
Qho booio jrad debnylhu Yckcyxedqo:,Vigenère
RMLUILLIPDGMFHAZAKCSFKORIKAGYQXA,Playfair
AleeobIigr es hnhril mgnnsest reai:,Rail Fence
Ipc lcuuc zrcv rappwnlc Wqimwvwvmu:,Affine
"Pb Wkrxjkw, zkrvh Pxuwkhu bhw lv exw idqwdvwlfdoo,",Caesar
"Co Jxyqwrp, sxyou Ckbpxon iaj ei xkd vkjjkojsyqvh,",Vigenère
NCPDMVFYQZFHLICMDZCFNDKLSXCXPKRASRTLEBMSSU,Playfair
"Mhhwerrt  tilyTogt hs ute e sbtfnatcl, u,oMhyiuasa",Rail Fence
"Qy Zraemrz, orauc Qepzrcp ycz wu nez hivziuzwsill,",Affine
"Vkdnhv vr pb vlqjoh vwdwh ri Pdq,",Caesar
"Ixkguc iy ci isjwva cpqda yb Qwd,",Vigenère
PBRIILPANCXSYQULTLRSFMEORA,Playfair
"Seo gse ,hkss ysnl tt fMna mieaoa",Rail Fence
"Urigcu ua qy uwvmlc uzizc ah Qiv,",Affine
"Wkdw Ixqfwlrq lv vprwkhu'g lq vxuplvh,",Caesar
"Jxkp Jqdmpyyj so cieddub't ed okbiyca,",Vigenère
PDRSEVMYSKNASXLARPCFDKGALXMOSXIU,Playfair
"T cn t'nrehtFnto ssohrdi ums,auiime si",Rail Fence
"Zriz Hevszwav wu uqazrcp'x wv uepqwuc,",Affine
"Dqg qrwklqj lv, exw zkdw lv qrw",Caesar
"Qdn dypxsjw ei, rep gdqd yc dyp",Vigenère
RAYRRPBFYQSXCXQZBOSKQARP,Playfair
"Aniibw nn ohn s u hti odtg,tast",Rail Fence
"Ivx vazrwvm wu, nez oriz wu vaz",Affine
Edqt. Orrnh krz rxu Sduwqhu'v udsw,Caesar
Rqxm. Beygu deg een Twhdjub'i nqzp,Vigenère
IBYWPMRFFCNVMVOTRMQRKMTAOSSZ,Playfair
B.ohoPnspaq ok o u ate' atnLewrrrr,Rail Fence
Nivk. Laagc rao aep Fipzvcp'u pifz,Affine
"Pdfe. Li Fkdqfh zloo kdxh ph Nlqj,",Caesar
"Cqmx. Yv Sxkjso mshb dqea wa Oedq,",Vigenère
ORHDKGHYRAELXGSUPCMXLCFEGAIW,Playfair
"M. nw e gab fCac ilhu eKn,cIhelami",Rail Fence
"Qisn. Wh Srivsc owll riec qc Gwvm,",Affine
"Zkb Fkdqfh pdb Furzqh ph,",Caesar
"Mxi Mrwdma wwo Shysdo co,",Vigenère
VYBHBOMYLCNBDMNVMGCL,Playfair
"WCcare,h hnemyCon eya  wm",Rail Fence
"Ory Srivsc qiy Spaovc qc,",Affine
Zlwkrxw pb vwluuh,Caesar
Myddeep wu cpybnu,Vigenère
XGPDMVLRBQSKAZMK,Playfair
Womteihu ysirtt r,Rail Fence
Owzraez qy uzwppc,Affine
Edqt. Qhz Krqruv frph ysrq klp,Caesar
Rqxm. Dug Ryjebo mkco lzkd dyw,Vigenère
IBYWMGVYNANMLBNOFUVHOYEA,Playfair
B.wn eoiaq e ooscm pnhmnNHrov ,Rail Fence
Nivk. Vco Ravapu saqc jfav rwq,Affine
"Olnh rxu vwudqjh Jduphqwv, fohdxh qrw wr wkhlu prxog,",Caesar
"Byua yqh ojbwdqa Kwhwaddo, ybowko dyp dk ddusn wkkvz,",Vigenère
SEEFMVATZDRAIFINMOGMLTEUIMMLANSZPRPDFKMOMVTC,Playfair
"L  a mslet io,ieorsrneGret,ceu o otermudkutgan anth l",Rail Fence
"Lwgc aep uzpivmc Mipqcvzu, slciec vaz za zrcwp qaelx,",Affine
Exw zlwk wkh dlg ri yvh,Caesar
Rkd mspx pxo qsz yb fou,Vigenère
CXQZKSDPCFBSHRPOLI,Playfair
Bw   vu ihteado stthife,Rail Fence
Nez owzr zrc iwx ah juc,Affine
"Pdfe. Frph zkdw frph pdb,",Caesar
"Cqmx. Sewa gdqd syiu iqi,",Vigenère
ORHDHMCLVYRSHMCLORBW,Playfair
"M.mhc ,ab oewa oemycC tma",Rail Fence
"Qisn. Saqc oriz saqc qiy,",Affine
"Wlph, dqg wkh Krxuh, uxqv wkurxjk wkh urxjkhvw Gdb",Caesar
"Jywa, wdn jra Lkkba, nkxo ddhyqwr jra bkkqducp Hwo",Vigenère
SKCLRAKZCFFHZMKMWMTLDOMVFYPDKMMVFYILZKNB,Playfair
"T,deu srheusaie n h or,rn hog h ogetDymatHeututrh ",Rail Fence
"Zwqc, ivx zrc Raepc, pevu zrpaemr zrc paemrcuz Xiy",Affine
"Edqt. Zruwkb Pdfehwk, zhh vwdb ysrq brxu ohbvxuh",Caesar
"Rqxm. Mebpxi Wkyropx, moa cpqi lzkd ueen vaocqho",Vigenère
IBYWVNDZYBORHDKLYVIUILSRHWVHYGMVMTGCLXMK,Playfair
"B.r b,eapy saq otyMceh e tyvo orlyuenWhatws nuer",Rail Fence
"Nivk. Oapzry Qisnczr, occ uziy jfav yaep lcyuepc",Affine
Pdfe. Jlxh ph brxu idxrxu:,Caesar
Cqmx. Wyea wa ikkb vkqeen:,Vigenère
ORHDIKMLCLHNZMIOVMZM,Playfair
M.ueuarab iem orfuu:cG y o,Rail Fence
Qisn. Mwec qc yaep hieaep:,Affine
Pb gxoo Eudlqh zdv zurxjkw zlwk wklqjv irujrwwhq.,Caesar
Co zkvh Fnqsju sqc mbkkqdj sydd ddyxci bebcedpux.,Vigenère
NCCZSUSCMRGAGUBXZNMVFYQZKSDPBFYQPINMFNSZLKAW,Playfair
MuBnarhitgot.ydl riewswogtwt hnsfrotn la  u hi ge,Rail Fence
Qy xell Npiwvc oiu opaemrz owzr zrwvmu hapmazzcv.,Affine
"Nlqgh Jhqwohphq, brxu sdlqhv duh uhjlvwuhg,",Caesar
"Ayxzu Wuxpboiux, ikkb fkedoo knu nuqeidnun,",Vigenère
EKRYFIGMLPLCGMHNZMSOGAILRMKMFISXZDKC,Playfair
"Kenm ri  ieid etee,yu ansaergsrdnGlnoperet,",Rail Fence
"Gwvxc Mcvzlcqcv, yaep fiwvcu ipc pcmwuzpcx,",Affine
"Zkhuh hxhub gdb L wxuqh wkh Ohdih,",Caesar
"Mxonu akono zqi S pkbju pxo Vowvo,",Vigenère
VYKMIULMKMBCNBKSZMMGPDLUIMGF,Playfair
"WeedIrtLehr ur a  un h ef,eeyyteea",Rail Fence
"Orcpc cecpy xiy W zepvc zrc Lcihc,",Affine
Wr uhdgh wkhp.,Caesar
Je nukzu pxoi.,Vigenère
PRMKRBKLCFAU,Playfair
Te moraete. dh,Rail Fence
Za pcixc zrcq.,Affine
Ohw yv wrzdug wkh Nlqj: wklqnh ysrq,Caesar
Bud lc jysqbz ddu Ayxc: pxsjao lzkd,Vigenère
ULPZTLNVRMKZCFEKYQPDGAEFOVNA,Playfair
Lvodentkpe stwr h ig hnevot atK:i n,Rail Fence
Lcz ju zaoipx zrc Gwvm: zrwvgc jfav,Affine
"Zkdw kdwk fkdqf'g: dqg dw pruh wlph,",Caesar
"Mxkp rwjr srwdm't: qxz kp wkho jsiu,",Vigenère
VYRSBOPDHYRAHCRABRLRNMKLEAIU,Playfair
"W hadntrihtht hn':ada oetm,aacc  m e",Rail Fence
"Oriz rizr srivs'x: ivx iz qapc zwqc,",Affine
"Wkh Lqwhulp kdxlqj zhljk'g lw, ohw yv vshdnh",Caesar
"Jxo Sxpubec dqeedq moewr't ej, bop fo clukgu",Vigenère
PDFKRQKMEABOXEYQUGKIYCKSULPZXATQIMEF,Playfair
"TIrhne'teseh nei aigwihdi,ltv paeetmu g   sk",Rail Fence
"Zrc Wvzcpwq riewvm ocwmr'x wz, lcz ju ufcigc",Affine
Rxu iuhh Khduwv hdfk wr rwkhu,Caesar
Ekb vbau Xuknjc ukyx pe kjrah,Vigenère
MVOKMKFCIMDZLIMBDPAVRPCFAZ,Playfair
Of re oru reHat aht tereescoh,Rail Fence
Aep hpcc Rcipzu cisr za azrcp,Affine
Edqt. Yhub jodgob,Caesar
Rqxm. Lubu qhqnho,Vigenère
IBYWUFNDEQRBQC,Playfair
B.rlyaq eygalnV d,Rail Fence
Nivk. Jcpy mlixly,Affine
Pdfe. Wloo wkhq hqrxjk:,Caesar
Cqmx. Jyvh ddux uxkkqd:,Vigenère
ORHDSKSUPLCFMGANWEBV,Playfair
M.lhegab ilte nuhcT no:,Rail Fence
Qisn. Zwll zrcv cvaemr:,Affine
Frph iulhqgv.,Caesar
Sewa pnyojtc.,Vigenère
HMCLKOKFRYXA,Playfair
C e.oefinsmrd,Rail Fence
Saqc hpwcvxu.,Affine
Hahxqw.,Caesar
Unoqdd.,Vigenère
IULMRQ,Playfair
Enxute.,Rail Fence
Ctcevz.,Affine
Vfhqd Txduwd.,Caesar
Isojq Gkknjk.,Vigenère
LBGMNSXMDZBA,Playfair
Saa.cn uraeQt,Rail Fence
Uscvi Keipzi.,Affine
"Iorxulvk. Hqwhu Nlqj, Ohqra, Pdofroph, Grqdoedlqh, dqg",Caesar
"Vbyqhsox. Oxpub Usjw, Vojeh, Qwbmkbwa, Texwblwyxa, wdn",Vigenère
EPMVAKPBGMLKDTGAEQGMAVORUEMPCLHRARSCBSMGRABZ,Playfair
"Fr.tK,n ceobenluih ne ig eo,Mlom,Dnlan,adosErnLxal ai ",Rail Fence
"Hlaepwur. Cvzcp Gwvm, Lcvat, Qilsalqc, Xavilniwvc, ivx",Affine
Dwwhqgdqwv.,Caesar
Qjdadnwddo.,Vigenère
RSLKRYRALT,Playfair
Anttednsta.,Rail Fence
Izzcvxivzu.,Affine
Nlqj. Lv hahfxwlrq grqh rq Fdzgru?,Caesar
Ayxc. Yi anoykdeex tyju kd Sqgzeb?,Vigenère
EKYQSXIULEZLFARYNAFMMYNXHRAZ,Playfair
K. coooarig seeuindn nCwo?nIxt e d,Rail Fence
Gwvm. Wu ctcsezwav xavc av Sioxap?,Affine
Ru qrw wkrvh lq Frpplvvlrq bhw uhwxuq'g?,Caesar
Eh jed jrkio yx Myicsoiskd uud hopkbj'n?,Vigenère
NMANSZPDAPFKMYNOAEXAXSNACGZDKLZMRY,Playfair
Ooh Cioeenrnttoei omsinytrtr'?  snms  ud,Rail Fence
Ap vaz zrauc wv Saqqwuuwav ycz pczepv'x?,Affine
"Pdo. Pb Olhjh, wkhb duh qrw bhw frph edfn.",Caesar
"Cqv. Qu Peuqa, pxou knu jed oop mkco rkya.",Vigenère
ORUCCQKFIFPDGCRMGMRPCGLDNOICMBIZ,Playfair
"M Lehanyc ka.M ig,te r o e oebc.lye yettma",Rail Fence
"Qil. Qy Lwcmc, zrcy ipc vaz ycz saqc nisg.",Affine
Exw L kdxh vsrnh zlwk rqh wkdw vdz klp glh:,Caesar
Rkd S dqea cleua gejr exa ddqd iks rec zyo:,Vigenère
CXSKBOMLTQRFGUKSFHMGPDRSXBVYEABKIU,Playfair
BIup heaaiiu  aesoewt n htswhmdeth kiot   :,Rail Fence
Nez W riec ufagc owzr avc zriz uio rwq xwc:,Affine
"Zkr glg uhsruw, wkdw yhub iudqnob khh",Caesar
"Mxy tsz bafynj, jrwj rubu pnqxgbi xoa",Vigenère
VYRHKBMKVHDZPDRSUFNDKORAETBYIUIU,Playfair
"Wdrrt yayeh i eot htvr rnl eodp,aefkh",Rail Fence
"Ora xwx pcfapz, zriz jcpy hpivgly rcc",Affine
"Frqihvv'g klv Wuhdvrqv, lpsoru'g brxu Kljkqhvvh Sdugrq,",Caesar
"Sexbuco'n xso Xnukoexo, eczheb't ueen Lewrjucou Fqbzex,",Vigenère
HMOGILTBBFTLMKBXNAXSOLPMDKHNZMBFFYMGXALISODKNA,Playfair
"Cedsenio rgsPoofs' i raos mlrdyu ihes adnnshTs,p'oHner,",Rail Fence
"Savhcuu'x rwu Zpciuavu, wqflap'x yaep Rwmrvcuuc Fipxav,",Affine
Dqg vhw iruwk d ghhsh Uhshqwdqfh:,Caesar
Qdn iop pkhdd k toafo Boluxpqxyu:,Vigenère
RABTKLPHDZBOCKFLKMFLGMSRMYIU,Playfair
Asfhdepa:n e ot  ep eetnedtraeRnc,Rail Fence
Ivx ucz hapzr i xccfc Pcfcvzivsc:,Affine
"Qrwklqj lq klv Olih ehfdph klp,",Caesar
"Deddyxc sj rei Bypa laskiu dyw,",Vigenère
ANPDGAIKOYSXSEGFCIBMCLBFAU,Playfair
"Niiiibmiohn nhsLf eaehmtg  ec ,",Rail Fence
"Vazrwvm wv rwu Lwhc ncsiqc rwq,",Affine
"Olnh wkh ohdxlqj lw. Khh gb'gh,",Caesar
"Byua ddu hukqyxc sp. Xuo ti'to,",Vigenère
SEEFPDLUIMXEYQKSCFKCBCIU,Playfair
"L  u   dietelaigi.Hed'ekhentey,",Rail Fence
"Lwgc zrc lciewvm wz. Rcc xy'xc,",Affine
"Dv rqh wkdw kdg ehhqh vwxglhg lq klv ghdwk,",Caesar
"Qi kdo jrwj dqn roado idqtsat ed dyc towjr,",Vigenère
BXNAKLBOPDRBCIGMILLZBKKCGABFTBIMPD,Playfair
"Anhhbeud  tsoeta a en tde nhsdah  tdesiiie,",Rail Fence
"Iu avc zriz rix nccvc uzexwcx wv rwu xcizr,",Affine
"Wr wkurz dzdb wkh ghduhvw wklqj kh rz'g,",Caesar
"Je pxbkm wmku ddu zuknucp ddyxc ra ys'n,",Vigenère
PRPDMNXNXNDQCFCKRMILSZPDGAFYFMZY,Playfair
"Th yeatihwotrwaa h ers hn eo', owtdetg d",Rail Fence
"Za zrpao ioiy zrc xcipcuz zrwvm rc ao'x,",Affine
Dv 'wzhuh d fduhohvvh Wulioh,Caesar
Qi 'jgaho q yqbabooio Dbevva,Vigenère
BXQZKMIMBMMKULXALIZDKGUL,Playfair
Atecleis'wr  aees rfe earsTl,Rail Fence
Iu 'zocpc i sipclcuuc Zpwhlc,Affine
"Nlqj. Wkhuh'v qr Duw,",Caesar
"Ayxc. Jxonu'o xk Enj,",Vigenère
EKYQPDKMILANRMSZ,Playfair
"K.es ,ig hr' oAtnTenr",Rail Fence
"Gwvm. Zrcpc'u va Ipz,",Affine
Wr ilqgh wkh Plqghv frqvwuxfwlrq lq wkh Idfh.,Caesar
Je byxzu pxo Wsjtoo mkdcpheyjskd ed pxo Pkyu.,Vigenère
PRGKRYKLCFAERYILHMAQZDMESKNAGAPDFGMBIU,Playfair
Ti  dctt tF.ofneteMne osrcini h ae dhisnuonec,Rail Fence
Za hwvxc zrc Qwvxcu savuzpeszwav wv zrc Hisc.,Affine
"Kh zdv d Jhqwohpdq, rq zkrp L exlow",Caesar
"Xu sqc q Wuxpboiqx, yj gdew S xkshj",Vigenère
CFXNXBIFRQULORANYNFHAECXESSZ,Playfair
"Ha taohIiewsaGnlmn nwo  ul  ee, mbt",Rail Fence
"Rc oiu i Mcvzlcqiv, av oraq W newlz",Affine
Dq devroxwh Wuxvw.,Caesar
Qd wrckbepu Jheoj.,Vigenère
RABIPAUMLKZDXLSZ,Playfair
AbuTtnaslt rs. oeu,Rail Fence
Iv inualezc Zpeuz.,Affine
"Hqwhu Pdfehwk, Edqtxr, Urvvh, dqg Dqjxv.",Caesar
"Uddah Cqmxudd, Rqxmky, Vkica, wdn Kxckc.",Vigenère
GMLKMOMBCIPDIBYWVMMNXALIRABRYQXL,Playfair
"Erchaoo,dgne abt,Bnu,Rse n nu.tMe q saAs",Rail Fence
"Cvzcp Qisnczr, Nivkea, Pauuc, ivx Ivmeu.",Affine
"R zruwkbhvw Frxvlq,",Caesar
"E gkhddoooj Seeoyx,",Vigenère
NVNMPDCGTLHMXLGA,Playfair
"OreCi otys osnwhtu,",Rail Fence
"A oapzrycuz Saeuwv,",Affine
Wkh vlqqh ri pb Lqjudwlwxgh hxhq qrz,Caesar
Jxo isjdo ep ci Sxchkpydqto uead jeg,Vigenère
PDILGAMGHPNCGAKNRSKSZCIULMGMANXZ,Playfair
Tse Iaue h in fm nrttd unnwenoygieeo,Rail Fence
Zrc uwvvc ah qy Wvmpizwzexc cecv vao,Affine
"Zdv khdxlh rq ph. Wkrx duw vr iduuh ehiruh,",Caesar
"Mqc xowksa yj wa. Jxyq knj oe bqbnu xupkho,",Vigenère
XNPBIMXEFMAOKLFHXMDZPAIOAZMKCIPHMK,Playfair
"Whin.ororbra eueo e huats ar eoesa mT  fef,",Rail Fence
"Oiu rciewc av qc. Zrae ipz ua hippc nchapc,",Affine
"Wkdw vzliwhvw Zlqj ri Uhfrpshqfh lv vorz,",Caesar
"Jxkp csyppucp Aedq ep Boyewluxyu ei obys,",Vigenère
PDRSQXKGLKTLXGYQHPMKHMOLGMELSXTPNV,Playfair
"T ftnfce s,htsits igo eopnei lwaweW Rmcso",Rail Fence
"Zriz uowhzcuz Owvm ah Pcsaqfcvsc wu ulao,",Affine
"Wr rxhuwdnh wkhh. Zrxog wkrx kdgvw ohvvh ghvhux'g,",Caesar
"Je kkonjkgu pxoa. Meeht pxyq rwtcp vaica naionk'z,",Vigenère
PRMVKMSREFPDIUGUMVTCPDMVBOBTLPILLICKLIMZBZ,Playfair
"Tuat.ut se edooetk he ol huhdtlsedsr', reeWdoa seu",Rail Fence
"Za aecpzigc zrcc. Oaelx zrae rixuz lcuuc xcucpe'x,",Affine
"Wkdw wkh sursruwlrq erwk ri wkdqnv, dqg sdbphqw,",Caesar
"Jxkp ddu lhylebpyyj lkjr ep jrwduo, wdn fkucojj,",Vigenère
PDRSPDFLMNVHDZFAAYRPFHKPBORGXBRYSOCNGMSZ,Playfair
"T  pib tkapehttepooto oho hns n amn,ahrrntfa,dyt",Rail Fence
"Zriz zrc fpafapzwav nazr ah zrivgu, ivx fiyqcvz,",Affine
"Pljkw kdxh ehhqh plqh: rqhob L kdxh ohiw wr vdb,",Caesar
"Cyqdj dqea lauxa wedo: yjuvu M xkqu hupp dk cwo,",Vigenère
AEFYPDMXICIUGMLCGAFMMGQCFBMXLUFGSZPRXBBW,Playfair
"Mtue en al sih aebeemn:oeyIhu ett a,gh ni l efoy",Rail Fence
"Qwmrz riec nccvc qwvc: avcly W riec lchz za uiy,",Affine
"Pruh lv wkb gxh, wkhq pruh wkhq doo fdq sdb",Caesar
"Ceba so ddo zko, ddux cynu pxoj khb yqx fku",Vigenère
ONMKSXPDBCMLPDGMONMKPDGMMSUERASOBW,Playfair
"M td nrhacpoei h u,te oete l a arsyehm nlny",Rail Fence
"Qapc wu zry xec, zrcv qapc zrcv ill siv fiy",Affine
"Pdfe. Wkh vhuxlfh, dqg wkh orbdowlh L rzh,",Caesar
"Cqmx. Jxo ionksyu, qxz ddu heiwbdeu Y ysu,",Vigenère
ORHDPDILKMXEELRAKZCFPMBNPLKFFAUG,Playfair
"M.erenhotIeab h euc,adtelyli  w,cTsi   aeo",Rail Fence
"Qisn. Zrc ucpewsc, ivx zrc layilzwc W aoc,",Affine
"Lq grlqj lw, sdbhv lw vhoih.",Caesar
"Yd zesjw ej, fkuuc yd iohvo.",Vigenère
GAHRGAIKLQNBILKSLIPEIU,Playfair
"Io  etlndigi,pysi ef. nta se",Rail Fence
"Wv xawvm wz, fiycu wz uclhc.",Affine
"Brxu Kljkqhvvh sduw, lv wr uhfhlxh rxu Gxwlhv:",Caesar
"Oeen Lewrjucou lqbp, ei pe numayea yqh Tkdeuc:",Vigenère
HNZMBFFYMGXALISODZSXPRMKELEXFMZMCZSKIL,Playfair
"Y hsa teuuusorHgnsepr,i orcieorDte:uie ts e  i",Rail Fence
"Yaep Rwmrvcuuc fipz, wu za pcscwec aep Xezwcu:",Affine
"Dqg rxu Gxwlhv duh wr brxu Wkurqh, dqg Vwdwh,",Caesar
"Qdn een Hqjsai who jy oyqh Jxbkdo, kjt Ijkpu,",Vigenère
RAHRZMCZSKILRMKLNHMVDZDONAIMRYTLRSIU,Playfair
"AoDerouhent,n u uisaet orTrn,adSaedrt  y o  t",Rail Fence
"Ivx aep Xezwcu ipc za yaep Zrpavc, ivx Uzizc,",Affine
"Fkloguhq, dqg Vhuxdqwv; zklfk grh exw zkdw wkhb vkrxog,",Caesar
"Sxshtbad, qxz Wahewddo; sxsyx zeo rep gdqd jrao oxyqbn,",Vigenère
HYESKDGMRABTKMXMRQQXBFHYHRICZLVYRSPDGCPBMVTC,Playfair
"Cd,drtwhetahslhlrn n euns hc o u htte hudieaSa;idbw yo,",Rail Fence
"Srwlxpcv, ivx Ucpeivzu; orwsr xac nez oriz zrcy uraelx,",Affine
Eb grlqj hxhub wklqj vdih wrzdug brxu Orxh,Caesar
Ro zesjw akono pxsjw oqpa dkmknt ueen Pkko,Vigenère
DBHRGAIFMLNDPDGAIQOIKLNVRMCBMVMTMVIU,Playfair
Bo rh ew ruydigeeytigsf oadyu oe nu natroL,Rail Fence
Ny xawvm cecpy zrwvm uihc zaoipx yaep Laec,Affine
Dqg Krqru,Caesar
Qdn Ryjeb,Vigenère
RACYNANM,Playfair
AHrn oodn,Rail Fence
Ivx Ravap,Affine
Nlqj. Zhofrph klwkhu:,Caesar
Ayxc. Muvyewa rejrah:,Vigenère
EKYQUGUENOFCKSCFAZ,Playfair
K.let:ig ecm ihrnWohe,Rail Fence
Gwvm. Oclsaqc rwzrcp:,Affine
"L kdxh ehjxq wr sodqw wkhh, dqg zloo oderxu",Caesar
"Y rwko rockx jy fvwdd jrau, qxz gebv bkxeen",Vigenère
FBMXICFIWMPRQPRASZPDIUIMRYXGSUSUSMHAZM,Playfair
"Iue pteaw o aebgnt ln he n illbuh uoat,dlar",Rail Fence
"W riec ncmev za flivz zrcc, ivx owll linaep",Affine
"Wr pdnh wkhh ixoo ri jurzlqj. Qreoh Edqtxr,",Caesar
"Je iqua dduo vehb kv chysyxc. Delhu Rqxmky,",Vigenère
PROREFPDIUFGMUPMGIMNXGYQANCSICRALWAV,Playfair
"Tat l w.bBuomk hefl fgoig ol aqo eeuornNen,",Rail Fence
"Za qigc zrcc hell ah mpaowvm. Vanlc Nivkea,",Affine
"Wkdw kdvw qr ohvvh ghvhux'g, qru pxvw eh nqrzqh",Caesar
"Jxkp rwid dy booio tooubq'n, xkh ikcp la ujegju",Vigenère
PDRSBOTLANULXALICKLIMZYRNMCMTLCIGRNVMG,Playfair
"T t seu  t whths olsedsr',nrms ekonaane edoubne",Rail Fence
"Zriz riuz va lcuuc xcucpe'x, vap qeuz nc gvaovc",Affine
"Qr ohvvh wr kdxh grqh vr: Ohw ph hqirog wkhh,",Caesar
